algo,env.reward_type,env.set_additional_goal,env,TimestepsSoFar,EpRewMean,loss_pol_entpen,EpThisIter,loss_vf_loss,EpisodesSoFar,loss_ent,ev_tdlam_before,loss_pol_surr,TimeElapsed,EpLenMean,loss_kl,success percentage,suc_percent,perf_flag,best_suc_percent
ppo,distance_lambda_10,angle,PlanarQuadEnv-v0,,,,,,,,,,,,,,,,
,,,,1021,-592.8491326293632,0.0,125,269980.44,125,1.4429415,2.9742717742919922e-05,-0.019817557,29.338501453399658,8.91,0.008651066,,,,
,,,,2045,-519.3377318004184,0.0,147,238830.08,272,1.4320189,-0.0013355016708374023,-0.030303974,63.229382038116455,6.36,0.012599492,,,,
,,,,3072,-444.58729060264193,0.0,167,170816.06,439,1.4174058,-0.010523557662963867,-0.024629224,99.1946108341217,6.34,0.00907981,,,,
,,,,4093,-465.7402786871793,0.0,145,153224.14,584,1.4104353,-0.021298766136169434,-0.027664697,133.5352656841278,7.69,0.013354844,,,,
,,,,5117,-458.12964302234025,0.0,155,151661.11,739,1.4046327,-0.0032181739807128906,-0.027900955,169.6135675907135,6.45,0.015431126,,,,
,,,,6141,-415.3835899868381,0.0,162,112539.516,901,1.4094487,-0.00150299072265625,-0.02639115,205.27439403533936,5.8,0.022804575,,,,
,,,,7167,-407.3707588084159,0.0,137,103135.69,1038,1.408776,-0.0004540681838989258,-0.026515814,238.99489498138428,7.36,0.019737642,,,,
,,,,8190,-437.24372576550775,0.0,140,124398.625,1178,1.3980485,-0.0032120943069458008,-0.028369712,274.53047800064087,7.21,0.00920093,,,,
,,,,9207,-403.79724376283923,0.0,141,88609.72,1319,1.3783567,-0.0008170604705810547,-0.021423893,308.84475564956665,6.81,0.010480395,,,,
,,,,10239,-436.2393829225138,0.0,81,68601.695,1400,1.3511353,-0.005890607833862305,-0.027269695,335.7212345600128,12.01,0.01002931,,,,
,,,,11261,-407.10006343287057,0.0,141,84280.484,1541,1.3298022,-0.0009524822235107422,-0.02415585,370.1933047771454,7.4,0.011760768,,,,
,,,,12287,-415.9041116911361,0.0,136,81452.18,1677,1.3296235,-0.0010498762130737305,-0.024084276,405.6308979988098,8.02,0.020836191,,,,
,,,,13296,-406.27014105940367,0.0,136,78550.766,1813,1.3124721,-0.0013604164123535156,-0.023589103,440.7205536365509,6.85,0.013195183,,,,
,,,,14321,-426.7659605680847,0.0,101,69145.02,1914,1.3025303,-0.001568913459777832,-0.024847599,472.37209963798523,10.01,0.012289994,,,,
,,,,15353,-483.55774299049045,0.0,98,130122.44,2012,1.3007208,-0.00028145313262939453,-0.030657103,504.4270043373108,10.57,0.013941266,,,,
,,,,16381,-426.77201710038133,0.0,109,77186.67,2121,1.300616,-2.8133392333984375e-05,-0.023092862,537.5051038265228,9.6,0.014249545,,,,
,,,,17405,-404.9853724406354,0.0,149,75705.65,2270,1.3003069,-1.6927719116210938e-05,-0.02684626,573.838231086731,7.21,0.012894064,,,,
,,,,18432,-400.72136712595517,0.0,131,64179.12,2401,1.2842863,-0.0009518861770629883,-0.028212078,608.2893116474152,7.45,0.010538913,,,,
,,,,19449,-442.8485427019347,0.0,91,80894.734,2492,1.2977402,-0.00010275840759277344,-0.022732824,636.1744549274445,10.82,0.008824708,,,,
,,,,20479,-423.0943645498864,0.0,114,73366.72,2606,1.2979081,-7.963180541992188e-05,-0.027340358,669.0505855083466,8.68,0.018555354,,,,
,,,,21500,-421.3093042005798,0.0,121,70096.25,2727,1.2817518,-0.0002727508544921875,-0.028503785,703.0223314762115,8.48,0.015957512,,,,
,,,,22526,-420.50927842966803,0.0,117,79606.61,2844,1.2913253,-0.0004655122756958008,-0.02655991,737.8052384853363,8.81,0.0106376335,,,,
,,,,23539,-410.66080136042524,0.0,118,57313.953,2962,1.2689813,-3.4689903259277344e-05,-0.025592897,772.4317841529846,8.8,0.011924751,,,,
,,,,24575,-406.18361573599947,0.0,131,61269.227,3093,1.2767297,-6.210803985595703e-05,-0.02495068,808.2909283638,7.88,0.012015177,,,,
,,,,25581,-424.74176443500846,0.0,117,72359.375,3210,1.2563477,-0.0006704330444335938,-0.03156288,844.1584918498993,8.87,0.016340079,,,,
,,,,26615,-435.6993723775584,0.0,108,76947.01,3318,1.2395813,-6.9141387939453125e-06,-0.030220438,877.8817691802979,8.95,0.0217186,,,,
,,,,27647,-420.8477088194358,0.0,117,71027.07,3435,1.2220174,3.546476364135742e-05,-0.022850797,912.4156231880188,8.81,0.013048929,,,,
,,,,28671,-438.09887451784164,0.0,82,53367.13,3517,1.221369,-0.0013855695724487305,-0.028367795,939.6530814170837,11.58,0.020751627,,,,
,,,,29690,-432.0077447092306,0.0,102,84386.01,3619,1.203638,8.106231689453125e-06,-0.028508965,972.4645800590515,9.94,0.02331726,,,,
,,,,30712,-423.54389668028665,0.0,113,71974.04,3732,1.1959356,6.729364395141602e-05,-0.026663862,1006.5648090839386,8.68,0.018535435,,,,
,,,,,,,,,,,,,,,,0.0008038585209003215,0.0008038585209003215,False,0
,,,,498,-438.94083885518023,,47,,47,,,,15.737046241760254,10.595744680851064,,0.0,,,
,,,,1005,-427.6169710005431,,53,,100,,,,32.69426083564758,10.05,,0.0,,,
,,,,1536,-428.67192491578083,,55,,155,,,,49.91031861305237,9.66,,0.0,,,
,,,,2046,-431.97121503091694,,49,,204,,,,66.21942281723022,9.66,,0.0,,,
,,,,2549,-447.5628348732931,,38,,242,,,,82.11819314956665,10.98,,0.0,,,
,,,,1023,-400.41130993704695,0.0,119,67648.55,119,1.1622019,-2.5391578674316406e-05,-0.027605668,34.880101680755615,8.44,0.021272926,,,,
,,,,2047,-452.15840508165303,0.0,108,83549.766,227,1.175234,-3.3974647521972656e-05,-0.030612815,68.46789240837097,9.51,0.010533075,,,,
,,,,3070,-416.74172006328064,0.0,114,53241.03,341,1.186735,2.0265579223632812e-05,-0.019195842,103.32528400421143,8.74,0.012838071,,,,
,,,,4091,-431.1856544864624,0.0,97,55412.52,438,1.1914064,-1.5497207641601562e-06,-0.029333416,133.42171168327332,10.52,0.0128509635,,,,
,,,,5109,-452.7068747370611,0.0,89,61844.164,527,1.1930104,2.8967857360839844e-05,-0.03102315,163.37201857566833,12.22,0.024109462,,,,
,,,,6139,-430.5565293275747,0.0,115,61643.242,642,1.1910505,1.2516975402832031e-06,-0.0299667,197.42848944664001,8.49,0.014259706,,,,
,,,,7141,-432.8378131459139,0.0,92,47984.508,734,1.1882727,3.421306610107422e-05,-0.029825136,229.38563990592957,11.08,0.011871706,,,,
,,,,8191,-412.1242257889161,0.0,116,48915.82,850,1.1927682,0.00032275915145874023,-0.028062902,263.66834354400635,8.69,0.014734517,,,,
,,,,9205,-431.53007140330106,0.0,101,49132.047,951,1.1782608,-4.5299530029296875e-06,-0.027479317,296.86914348602295,10.07,0.013348363,,,,
,,,,10220,-420.90310391427096,0.0,110,50065.27,1061,1.1678332,4.649162292480469e-06,-0.024875658,330.9539566040039,8.97,0.015373535,,,,
,,,,11255,-458.50304247466624,0.0,91,61211.402,1152,1.16622,1.0848045349121094e-05,-0.03356728,363.5922222137451,10.94,0.015374433,,,,
,,,,12287,-425.45800205761594,0.0,100,59086.844,1252,1.1446867,-2.1457672119140625e-06,-0.034840476,396.9637131690979,10.32,0.018964045,,,,
,,,,13308,-440.2058226454511,0.0,92,50535.195,1344,1.1632416,9.59634780883789e-06,-0.027746221,428.40813994407654,10.99,0.0078045037,,,,
,,,,14336,-444.32171104518454,0.0,72,37807.37,1416,1.1783472,3.504753112792969e-05,-0.02070089,455.8621768951416,13.79,0.01639673,,,,
,,,,15347,-420.2977663400868,0.0,90,31247.438,1506,1.1512223,0.00020384788513183594,-0.02767907,488.8739926815033,10.98,0.011968268,,,,
,,,,16375,-415.8181332904189,0.0,109,39750.766,1615,1.1732194,0.00013959407806396484,-0.026592437,523.4795672893524,8.92,0.01735901,,,,
,,,,17406,-421.5510095047716,0.0,106,38701.707,1721,1.1622207,3.0994415283203125e-05,-0.02341311,557.1217923164368,9.71,0.012762152,,,,
,,,,18431,-436.02767110667315,0.0,88,44464.367,1809,1.1705792,7.68899917602539e-06,-0.029488426,589.8673181533813,10.77,0.024551306,,,,
,,,,19453,-419.25827263362515,0.0,104,35525.883,1913,1.1766407,2.962350845336914e-05,-0.019359592,625.2536566257477,9.8,0.017511705,,,,
,,,,20472,-461.6467748858206,0.0,88,57575.43,2001,1.1757009,1.2516975402832031e-05,-0.03491856,657.3818972110748,11.68,0.011067048,,,,
,,,,21497,-425.1558827956125,0.0,104,40033.535,2105,1.1797235,4.231929779052734e-06,-0.025896467,691.1099328994751,9.71,0.015978746,,,,
,,,,22526,-414.3060295746618,0.0,114,41197.36,2219,1.1951416,6.616115570068359e-06,-0.025538811,725.7730050086975,8.77,0.014781753,,,,
,,,,23538,-470.0128443903421,0.0,73,51750.22,2292,1.2154101,1.710653305053711e-05,-0.02723664,753.2913236618042,13.17,0.015126812,,,,
,,,,24573,-406.8559800974129,0.0,99,40166.414,2391,1.2085532,4.684925079345703e-05,-0.022627188,786.2397527694702,10.51,0.0138154635,,,,
,,,,25600,-403.85933455031585,0.0,108,41794.273,2499,1.2140863,-2.384185791015625e-06,-0.027459402,821.2775638103485,9.59,0.025745092,,,,
,,,,26609,-421.01128973996543,0.0,98,29968.238,2597,1.2152283,-4.76837158203125e-07,-0.019650161,854.9595491886139,10.17,0.0206867,,,,
,,,,27645,-428.1470958638194,0.0,104,37447.426,2701,1.2162793,1.043081283569336e-05,-0.025351156,888.9879941940308,9.68,0.017004171,,,,
,,,,28671,-429.7772614549191,0.0,94,30579.34,2795,1.2196805,5.4836273193359375e-06,-0.023115542,922.2334268093109,10.83,0.018333504,,,,
,,,,29692,-419.8878861223514,0.0,106,30085.805,2901,1.2379024,2.866983413696289e-05,-0.031498358,956.5616807937622,9.46,0.01667933,,,,
,,,,30703,-425.88514580501743,0.0,114,45967.35,3015,1.2484581,1.806020736694336e-05,-0.029988607,991.7684330940247,8.41,0.013827276,,,,
,,,,,,,,,,,,,,,,0.0013266998341625207,0.0013266998341625207,False,0.0008038585209003215
,,,,512,-412.09530495710555,,36,,36,,,,15.84366226196289,14.222222222222221,,0.027777777777777776,,,
,,,,1018,-426.0999659842567,,44,,80,,,,32.58679509162903,12.725,,0.0125,,,
,,,,1526,-443.08378984904607,,27,,107,,,,44.25058698654175,14.21,,0.009345794392523364,,,
,,,,2046,-454.80182301399174,,36,,143,,,,58.49870157241821,14.49,,0.006993006993006993,,,
,,,,2543,-452.20660560774866,,45,,188,,,,75.16654205322266,13.57,,0.005319148936170213,,,
,,,,1019,-424.97970611790726,0.0,87,22339.74,87,1.2599618,0.0,-0.023657102,32.212562799453735,11.71264367816092,0.03060297,,,,
,,,,2032,-405.7386361423482,0.0,101,26005.004,188,1.2487786,4.673004150390625e-05,-0.027515942,65.95461559295654,9.83,0.012503375,,,,
,,,,3061,-440.7463940461076,0.0,90,43130.086,278,1.2391899,-0.00030291080474853516,-0.02906537,98.89884328842163,11.5,0.010921089,,,,
,,,,4090,-421.4782569863939,0.0,115,31949.95,393,1.2355559,-0.001395106315612793,-0.024134286,133.64914202690125,8.66,0.019277396,,,,
,,,,5120,-414.5726931578222,0.0,119,30098.37,512,1.2355042,-0.00047278404235839844,-0.031937744,168.95400142669678,8.0,0.01408726,,,,
,,,,6133,-401.5923739047935,0.0,127,19535.656,639,1.2282792,-2.2649765014648438e-05,-0.02318744,204.93709802627563,7.82,0.014100383,,,,
,,,,7168,-427.31102742505936,0.0,115,28288.242,754,1.2406217,-0.02799093723297119,-0.02694042,240.0001413822174,9.02,0.0126413945,,,,
,,,,8179,-442.50934778671706,0.0,86,29448.78,840,1.247783,7.808208465576172e-06,-0.028375149,269.07872557640076,10.97,0.016946962,,,,
,,,,9211,-427.4468774507999,0.0,94,22923.277,934,1.2446988,0.0001665353775024414,-0.026112564,300.37355947494507,11.19,0.024969202,,,,
,,,,10239,-408.9417471844733,0.0,128,22419.088,1062,1.2663518,3.993511199951172e-06,-0.01752384,335.9747452735901,7.45,0.012860538,,,,
,,,,11261,-421.9553554127913,0.0,93,27234.213,1155,1.2380333,1.1622905731201172e-05,-0.027881663,368.76414251327515,10.66,0.02223176,,,,
,,,,12282,-405.82833402783,0.0,127,22959.55,1282,1.2300446,9.417533874511719e-06,-0.026752517,404.1005108356476,7.92,0.02018214,,,,
