algo,env.set_additional_goal,env,env.reward_type,loss_kl,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,EpThisIter,TimeElapsed,loss_ent,ev_tdlam_before,EpRewMean,EpLenMean,best_suc_percent,suc_percent,perf_flag,success percentage
ppo,angle,PlanarQuadEnv-v0,distance_lambda_1,,,,,,,,,,,,,,,,
,,,,0.012386078,1018,-0.028020637,178,240548.94,0.0,178,37.469807863235474,1.4433748,-5.1140785217285156e-05,-492.20418911956034,5.83,,,,
,,,,0.013363185,2041,-0.029892534,329,217202.19,0.0,151,72.5869824886322,1.4282576,-0.0026317834854125977,-483.11932421803266,6.83,,,,
,,,,0.011448207,3063,-0.023789626,474,166355.25,0.0,145,107.30243372917175,1.4250524,-0.007921218872070312,-443.8444040072368,7.03,,,,
,,,,0.011965103,4088,-0.026806261,619,149028.9,0.0,145,142.25227284431458,1.4358388,-0.012115955352783203,-430.1565108392591,6.46,,,,
,,,,0.011676135,5119,-0.030268475,758,147726.7,0.0,139,175.7384123802185,1.4181429,-0.0013211965560913086,-460.0780295429754,8.39,,,,
,,,,0.009180261,6141,-0.027913678,854,110627.6,0.0,96,202.5472812652588,1.4153099,-0.002017974853515625,-457.24910115002274,10.45,,,,
,,,,0.012626869,7162,-0.031539343,981,146260.8,0.0,127,235.37583422660828,1.4187834,-0.0007300376892089844,-460.0930593462744,7.82,,,,
,,,,0.011228235,8185,-0.029677784,1124,119240.19,0.0,143,270.5878095626831,1.4393324,-0.0007214546203613281,-431.1083223966466,7.29,,,,
,,,,0.011171599,9215,-0.035188884,1271,140844.97,0.0,147,306.52083563804626,1.4162629,-0.00024235248565673828,-446.1739890919856,6.89,,,,
,,,,0.012921965,10237,-0.025260903,1412,111548.77,0.0,141,341.4503960609436,1.400877,-7.534027099609375e-05,-410.3117405743305,7.54,,,,
,,,,0.012388308,11259,-0.022687405,1561,112185.57,0.0,149,377.34807682037354,1.3868154,-5.650520324707031e-05,-405.9597330519051,6.19,,,,
,,,,0.015133944,12277,-0.028185386,1688,87698.84,0.0,127,411.3689823150635,1.3682326,-0.00022399425506591797,-413.805756100151,7.63,,,,
,,,,0.020595519,13309,-0.031064603,1819,91116.19,0.0,131,445.6045067310333,1.3573939,-0.0005228519439697266,-428.2197086265288,8.58,,,,
,,,,0.015524183,14325,-0.031418175,1937,98435.24,0.0,118,478.67023396492004,1.3711833,-0.0005155801773071289,-434.5246873915992,8.7,,,,
,,,,0.012151949,15356,-0.026278958,2018,84907.15,0.0,81,505.4866397380829,1.3420717,-7.450580596923828e-05,-450.56256440643017,12.4,,,,
,,,,0.011896201,16381,-0.02877118,2151,80787.15,0.0,133,540.0150945186615,1.3234704,-0.00014138221740722656,-403.00768555001514,7.13,,,,
,,,,0.013795022,17399,-0.024557725,2290,73104.72,0.0,139,575.3662393093109,1.317938,-0.00011754035949707031,-390.5674265506043,6.86,,,,
,,,,0.012628096,18425,-0.030613687,2416,104688.33,0.0,126,610.0986576080322,1.3193905,-0.00031316280364990234,-438.29789459456026,7.42,,,,
,,,,0.014836821,19443,-0.032907754,2539,59226.33,0.0,123,643.9659676551819,1.2746105,-4.947185516357422e-05,-395.64049303570783,7.61,,,,
,,,,0.014086396,20479,-0.025267761,2657,60280.15,0.0,118,678.0075967311859,1.2542555,-0.004642367362976074,-403.0073507807704,8.51,,,,
,,,,0.017978072,21489,-0.026430473,2766,85030.01,0.0,109,711.7384829521179,1.2451212,-3.5762786865234375e-05,-415.6515308704086,9.1,,,,
,,,,0.013796115,22520,-0.025008086,2893,54174.96,0.0,127,746.3290798664093,1.2384961,0.00022548437118530273,-394.67626113469436,7.55,,,,
,,,,0.017638573,23537,-0.02782891,2994,57829.055,0.0,101,778.7819972038269,1.243817,2.5570392608642578e-05,-416.71233891625917,9.88,,,,
,,,,0.019242628,24554,-0.03485913,3049,81122.12,0.0,55,804.6018717288971,1.2413484,-1.4066696166992188e-05,-430.8160296299484,13.86,,,,
,,,,0.013841686,25580,-0.02646042,3150,67603.06,0.0,101,837.4472100734711,1.230662,-1.895427703857422e-05,-407.9314561638476,10.02,,,,
,,,,0.01647321,26623,-0.028698673,3250,86830.516,0.0,100,870.8181149959564,1.2110049,1.4901161193847656e-06,-386.8659656277857,10.43,,,,
,,,,0.010479781,27642,-0.030327426,3372,96419.016,0.0,122,905.6572308540344,1.1744661,-7.152557373046875e-06,-380.31404004888964,8.87,,,,
,,,,0.011462815,28670,-0.026047587,3491,73175.17,0.0,119,940.8573579788208,1.1421282,7.236003875732422e-05,-399.36467391232924,8.25,,,,
,,,,0.028872933,29695,-0.034199327,3579,79537.87,0.0,88,973.6750032901764,1.1181278,0.004923105239868164,-415.7386310072614,11.26,,,,
,,,,0.013721307,30718,-0.026281431,3671,87363.04,0.0,92,1006.5249378681183,1.0897638,0.0723036527633667,-360.8642805762466,11.01,,,,
,,,,,,,,,,,,,,,,0,0.006537728139471534,False,0.006537728139471534
,,,,,505,,63,,,63,18.2017924785614,,,-402.1406936170054,8.015873015873016,,,,0.015873015873015872
,,,,,1020,,93,,,30,32.7315514087677,,,-408.48476444161554,10.96774193548387,,,,0.021505376344086023
,,,,,1536,,141,,,48,49.31110215187073,,,-391.7908979966578,11.95,,,,0.028368794326241134
,,,,,2045,,196,,,55,66.70759391784668,,,-387.82354328034955,9.88,,,,0.025510204081632654
,,,,,2548,,223,,,27,79.30288290977478,,,-390.78685440265167,12.09,,,,0.026905829596412557
,,,,0.0151889725,1022,-0.029388184,84,76306.46,0.0,84,30.187857389450073,1.0808841,0.03091806173324585,-420.16046881425956,12.166666666666666,,,,
,,,,0.01620561,2032,-0.024234358,180,83861.71,0.0,96,63.73290944099426,1.0787078,0.036517560482025146,-433.35555798147385,10.27,,,,
,,,,0.020568954,3067,-0.027185284,292,74347.95,0.0,112,97.57249307632446,1.0500144,0.045470356941223145,-404.2494898037757,9.45,,,,
,,,,0.013921905,4084,-0.029848047,388,85922.766,0.0,96,131.29728269577026,1.0193131,0.04801154136657715,-368.39697290053715,10.75,,,,
,,,,0.02036573,5106,-0.027459351,485,78744.195,0.0,97,165.12145161628723,0.99888253,0.07571619749069214,-404.5248221697197,10.58,,,,
,,,,0.012245515,6129,-0.03428732,576,95129.28,0.0,91,198.47243666648865,0.9711284,0.071993887424469,-359.35075153109955,10.73,,,,
,,,,0.014814512,7160,-0.03275284,663,110699.984,0.0,87,232.72755098342896,0.95977885,0.07160544395446777,-388.00681937308616,11.44,,,,
,,,,0.012235924,8180,-0.033800144,754,127346.03,0.0,91,265.69363260269165,0.9310348,0.04945230484008789,-362.56313447409667,11.13,,,,
,,,,0.019959072,9212,-0.03255349,824,77681.25,0.0,70,296.1823513507843,0.9309959,0.09023523330688477,-407.03753158975604,13.83,,,,
,,,,0.009978623,10236,-0.03368671,893,150440.08,0.0,69,325.40409207344055,0.91552734,0.051126718521118164,-298.8111604724216,15.55,,,,
,,,,0.0127780195,11263,-0.031302176,974,127949.99,0.0,81,358.0606770515442,0.92148584,0.09876459836959839,-265.53158269104205,12.19,,,,
,,,,0.014100211,12282,-0.035537668,1062,136516.56,0.0,88,392.67882895469666,0.9102366,0.07153725624084473,-346.6550248123027,10.8,,,,
,,,,0.011576635,13312,-0.032880485,1147,183613.34,0.0,85,425.1846387386322,0.89702517,0.08666414022445679,-232.4677445622709,11.95,,,,
,,,,0.012200659,14332,-0.033534024,1230,193749.2,0.0,83,458.13347005844116,0.869852,0.14167743921279907,-153.42277332715648,12.61,,,,
,,,,0.013368468,15345,-0.03872724,1322,170426.06,0.0,92,492.0398907661438,0.83794427,0.15821927785873413,-165.5523777280783,11.37,,,,
,,,,0.014951214,16376,-0.043362994,1386,176401.28,0.0,64,523.4031028747559,0.81867117,0.1272873878479004,-100.88848046968582,14.35,,,,
,,,,0.009805359,17401,-0.033240356,1467,188366.8,0.0,81,557.2627115249634,0.80686116,0.14637994766235352,-128.42103839712794,13.46,,,,
,,,,0.011901928,18416,-0.03818243,1550,175924.77,0.0,83,590.9609322547913,0.7933006,0.1790919303894043,-117.22434089265833,12.24,,,,
,,,,0.012639536,19455,-0.03393386,1594,229485.17,0.0,44,614.3475422859192,0.77515495,0.19526076316833496,173.0416149271884,17.51,,,,
,,,,0.016021123,20460,-0.03229588,1654,233447.19,0.0,60,643.4154744148254,0.79826576,0.14714664220809937,331.1987031087247,19.57,,,,
,,,,0.012918049,21500,-0.030343978,1736,166911.02,0.0,82,676.6968514919281,0.78534514,0.06110161542892456,-91.11567456090488,13.21,,,,
,,,,0.01239463,22527,-0.033419877,1816,212843.66,0.0,80,710.1406579017639,0.7888488,0.15409278869628906,-50.221975515050836,12.43,,,,
,,,,0.014785781,23532,-0.034962717,1895,204473.38,0.0,79,743.3060920238495,0.7689172,0.09870779514312744,-90.63874934824825,12.37,,,,
,,,,0.01188077,24574,-0.03920344,1991,214855.78,0.0,96,779.3956007957458,0.76356953,0.1354382038116455,-146.48285177967023,11.1,,,,
,,,,0.013170752,25589,-0.041791998,2059,218398.94,0.0,68,811.8604803085327,0.7544145,0.1545569896697998,17.20986596657868,14.18,,,,
,,,,0.0087888455,26615,-0.03542723,2125,237777.22,0.0,66,843.7219340801239,0.7390232,0.05902206897735596,4.167741438675331,14.99,,,,
,,,,0.010826223,27644,-0.036007877,2201,211737.6,0.0,76,876.7725641727448,0.7173081,0.14953351020812988,8.636101818243032,13.84,,,,
,,,,0.013217792,28655,-0.038780224,2255,245046.69,0.0,54,903.6798403263092,0.7052411,0.15941745042800903,95.86021992618149,15.85,,,,
,,,,0.0094483895,29680,-0.03593149,2340,190849.77,0.0,85,936.5938699245453,0.6813687,0.18054473400115967,34.780559216094176,13.81,,,,
,,,,0.011861231,30720,-0.036721356,2410,218259.81,0.0,70,968.4161698818207,0.6906091,0.13289517164230347,49.64986711135514,13.35,,,,
,,,,,,,,,,,,,,,,0.006537728139471534,0.2049792531120332,False,0.2049792531120332
,,,,,505,,26,,,26,15.537888526916504,,,685.8599731908671,19.423076923076923,,,,0.8846153846153846
,,,,,1024,,58,,,32,31.834930419921875,,,468.7493028054934,17.655172413793103,,,,0.6896551724137931
,,,,,1527,,89,,,31,48.691816568374634,,,411.42125817695177,17.15730337078652,,,,0.6629213483146067
,,,,,2034,,123,,,34,64.39423274993896,,,324.7398200510732,15.91,,,,0.6422764227642277
,,,,,2550,,156,,,33,81.10934710502625,,,288.7860079893871,15.69,,,,0.6217948717948718
,,,,0.01174134,1020,-0.036754314,73,195228.44,0.0,73,32.58679676055908,0.6649722,0.12136310338973999,-67.4797312469766,13.972602739726028,,,,
,,,,0.01913638,2034,-0.040526543,155,211632.27,0.0,82,67.60513067245483,0.62874186,0.15854907035827637,-62.45386289392735,12.9,,,,
,,,,0.011360051,3054,-0.037018478,228,229333.22,0.0,73,100.84470510482788,0.61403084,0.14180254936218262,24.100033050234025,13.41,,,,
,,,,0.014583258,4091,-0.040283192,290,230565.95,0.0,62,132.3005166053772,0.59464157,0.2303096055984497,190.85956682259024,15.34,,,,
,,,,0.010892099,5112,-0.03295289,337,253120.4,0.0,47,157.83763122558594,0.5735797,0.20336776971817017,470.1091120593878,19.17,,,,
,,,,0.01349857,6140,-0.03713361,403,217916.03,0.0,66,189.03261637687683,0.5610103,0.11110341548919678,309.4501234958109,17.74,,,,
,,,,0.013721514,7167,-0.036211997,472,239433.88,0.0,69,222.00929045677185,0.5341368,0.2079000473022461,125.36288100835391,14.68,,,,
,,,,0.010357967,8191,-0.042299688,548,225844.38,0.0,76,255.48016786575317,0.5507535,0.1873498558998108,83.4047682670726,13.84,,,,
,,,,0.015530774,9203,-0.034087334,618,199585.72,0.0,70,288.52636528015137,0.5235806,0.11545652151107788,52.66416515492389,14.99,,,,
,,,,0.011397983,10228,-0.037920732,684,226107.8,0.0,66,321.1171100139618,0.5255665,0.1462826132774353,162.2875988847764,15.46,,,,
,,,,0.012229659,11264,-0.03326232,753,238236.12,0.0,69,354.6965138912201,0.5335936,0.12046998739242554,126.65239491586603,14.57,,,,
,,,,0.014602073,12285,-0.045751803,825,202825.2,0.0,72,388.96743845939636,0.5187225,0.15910345315933228,127.69640763545203,14.41,,,,
,,,,0.010985088,13302,-0.03498088,899,220745.42,0.0,74,422.36058950424194,0.5067128,0.1402587890625,87.04856740177246,13.44,,,,
,,,,0.012761968,14323,-0.03409687,955,256217.22,0.0,56,450.94581365585327,0.490087,0.13252687454223633,222.14906973157312,15.35,,,,
,,,,0.019745138,15354,-0.042869844,1014,243387.48,0.0,59,480.6107168197632,0.47048667,0.1681928038597107,413.5053665541271,18.16,,,,
,,,,0.020203523,16374,-0.040018484,1076,252159.75,0.0,62,513.1532354354858,0.45853135,0.20886600017547607,405.47812348687495,16.86,,,,
,,,,0.014412746,17403,-0.038957827,1141,241104.89,0.0,65,545.6436133384705,0.45029208,0.1627119779586792,324.51862554454,15.71,,,,
,,,,0.011523071,18422,-0.03729765,1200,231728.48,0.0,59,577.021372795105,0.4494325,0.103424072265625,364.520905869383,17.01,,,,
,,,,0.017149467,19446,-0.04117448,1269,215827.69,0.0,69,608.7162988185883,0.45788527,0.15121620893478394,286.9590657867757,15.87,,,,
,,,,0.011976499,20471,-0.030816495,1346,224154.73,0.0,77,642.9738168716431,0.46213296,0.11728215217590332,75.95532410251087,12.81,,,,
,,,,0.014899669,21497,-0.043998517,1410,232076.67,0.0,64,675.2968780994415,0.45944026,0.14197051525115967,292.71301860854965,15.31,,,,
,,,,0.012965121,22508,-0.040733524,1478,215912.78,0.0,68,708.0403668880463,0.44767678,0.13272207975387573,265.39962271683476,15.49,,,,
,,,,0.020268057,23533,-0.02914979,1545,211822.95,0.0,67,740.1542882919312,0.42296025,0.14210957288742065,253.81078210773322,15.17,,,,
,,,,0.012254141,24576,-0.03734424,1598,207705.36,0.0,53,766.6214752197266,0.4105229,0.12436950206756592,430.5126530918105,17.15,,,,
,,,,0.032519564,25598,-0.037073992,1669,215336.27,0.0,71,799.6456432342529,0.4089146,0.16634410619735718,360.25328333911705,15.18,,,,
,,,,0.015875539,26603,-0.041626133,1732,200601.95,0.0,63,831.4704794883728,0.38865548,0.16313958168029785,326.891384768629,14.81,,,,
,,,,0.014596141,27644,-0.038897153,1808,209897.8,0.0,76,865.2206227779388,0.39327604,0.1529371738433838,254.15709025637,14.61,,,,
,,,,0.013210105,28664,-0.03443641,1878,224872.36,0.0,70,898.504786491394,0.38409615,0.15721583366394043,193.85074050683085,14.22,,,,
,,,,0.01313678,29693,-0.039909907,1940,214229.03,0.0,62,930.1772770881653,0.3516206,0.1215478777885437,238.3919688470542,14.84,,,,
,,,,0.012254488,30705,-0.03364636,2008,224167.94,0.0,68,962.9677352905273,0.3561983,0.12322217226028442,286.09541395318354,15.14,,,,
,,,,,,,,,,,,,,,,0.2049792531120332,0.522410358565737,False,0.522410358565737
,,,,,495,,31,,,31,16.533802032470703,,,458.7645229031139,15.96774193548387,,,,0.6774193548387096
,,,,,1018,,67,,,36,32.79406023025513,,,441.55434813498835,15.194029850746269,,,,0.6567164179104478
,,,,,1528,,101,,,34,49.42832636833191,,,464.5086990868425,15.13,,,,0.6732673267326733
,,,,,2034,,134,,,33,66.14262986183167,,,456.82857677158455,14.69,,,,0.6716417910447762
,,,,,2546,,163,,,29,80.82472324371338,,,516.8210437651472,16.07,,,,0.6871165644171779
,,,,0.017139295,1024,-0.039456364,64,198270.86,0.0,64,28.681351900100708,0.35893387,0.2006818652153015,319.49303206364345,16.0,,,,
,,,,0.017802995,2045,-0.036680944,134,203993.6,0.0,70,61.267659187316895,0.3577122,0.20885878801345825,174.0521050887032,13.83,,,,
,,,,0.018473547,3060,-0.028573401,192,208942.97,0.0,58,92.72390389442444,0.3654456,0.09789711236953735,398.20254460432443,16.4,,,,
,,,,0.018773284,4089,-0.04114263,255,239377.33,0.0,63,125.31927251815796,0.38180447,0.10958665609359741,409.0258658931856,16.87,,,,
,,,,0.014618221,5111,-0.039070852,327,201124.2,0.0,72,158.23302698135376,0.3576073,0.2376394271850586,269.4096846681807,14.27,,,,
,,,,0.017002784,6135,-0.04356946,401,187232.98,0.0,74,192.05418586730957,0.35091,0.27205026149749756,287.82348236547125,14.5,,,,
,,,,0.014686942,7150,-0.042418968,463,191165.97,0.0,62,224.9354956150055,0.34547764,0.23458796739578247,364.22967018489175,15.35,,,,
,,,,0.014757521,8178,-0.03519247,526,238410.23,0.0,63,256.75976943969727,0.3368402,0.09681159257888794,444.42487043150453,16.31,,,,
,,,,0.019777467,9197,-0.046240356,601,197144.64,0.0,75,290.54457783699036,0.32103688,0.23582273721694946,292.77648130725703,14.43,,,,
,,,,0.021300957,10238,-0.038919393,653,190778.5,0.0,52,316.38172245025635,0.3322844,0.06671041250228882,372.1092375816412,16.84,,,,
,,,,0.014317299,11258,-0.038559545,714,216620.6,0.0,61,347.7021498680115,0.34607488,0.10881191492080688,443.41246018387045,18.0,,,,
,,,,0.0151052205,12272,-0.037793335,787,230643.81,0.0,73,380.83101654052734,0.3456257,0.14400261640548706,259.1873564344266,14.83,,,,
,,,,0.016389972,13297,-0.041681174,852,192205.42,0.0,65,413.5399582386017,0.3331194,0.17345380783081055,399.2239768241709,15.54,,,,
,,,,0.023235267,14324,-0.048550844,909,205141.06,0.0,57,445.34168553352356,0.32376462,0.14691609144210815,443.05424220758005,16.74,,,,
,,,,0.016528971,15343,-0.04015168,971,200993.86,0.0,62,478.0562536716461,0.3137483,0.10723000764846802,445.59048104536873,16.92,,,,
,,,,0.020133784,16380,-0.039261922,1036,252746.03,0.0,65,511.44423937797546,0.30388218,0.08957076072692871,248.20136092813937,16.16,,,,
,,,,0.018243384,17402,-0.0442492,1100,192306.97,0.0,64,543.8172919750214,0.3028772,0.17250680923461914,380.87792781993414,15.74,,,,
