env.reward_type,env.set_additional_goal,env,algo,loss_kl,loss_ent,loss_pol_surr,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,loss_pol_entpen,TimeElapsed,loss_vf_loss,TimestepsSoFar,suc_percent,success percentage,perf_flag,best_suc_percent
distance,angle,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,0.011104607,1.4468199,-0.022730878,6.44,3.0338764190673828e-05,-533.7083279034202,166,166,0.0,35.751073360443115,244954.53,1021,,,,
,,,,0.007770092,1.4456202,-0.019797523,8.49,-0.0011947154998779297,-525.4121742438776,117,283,0.0,67.18897366523743,200408.88,2046,,,,
,,,,0.01429211,1.4300213,-0.032773416,9.48,-0.010773181915283203,-606.1543560205146,105,388,0.0,95.43148684501648,268203.44,3062,,,,
,,,,0.010849398,1.4284574,-0.025294388,7.04,7.361173629760742e-05,-474.68861629210363,148,536,0.0,130.62129497528076,183026.45,4094,,,,
,,,,0.0103313485,1.4031321,-0.025931098,7.16,-0.001859903335571289,-464.21009155905716,140,676,0.0,165.5235149860382,165187.89,5118,,,,
,,,,0.014432884,1.3887024,-0.026133426,7.23,0.00014293193817138672,-420.5802537924599,138,814,0.0,200.18743252754211,114513.086,6140,,,,
,,,,0.01219822,1.3726469,-0.025988508,7.85,-0.0027962923049926758,-418.7766811530392,123,937,0.0,233.58593773841858,102975.945,7165,,,,
,,,,0.015263742,1.3666857,-0.026450586,6.61,-0.0005667209625244141,-403.1507479412114,154,1091,0.0,269.7103271484375,95870.54,8187,,,,
,,,,0.017861087,1.371624,-0.030417657,8.09,-0.00031554698944091797,-427.9834246295127,118,1209,0.0,303.29136395454407,106807.65,9209,,,,
,,,,0.012147056,1.352167,-0.026441965,7.55,-0.0002918243408203125,-413.01114084869204,124,1333,0.0,337.4073429107666,101422.164,10226,,,,
,,,,0.021481996,1.3685439,-0.026293553,7.87,-0.0003072023391723633,-420.138800926762,127,1460,0.0,369.7155978679657,101361.4,11264,,,,
,,,,0.019235257,1.3675455,-0.03304039,6.57,-4.482269287109375e-05,-402.3069854847595,123,1583,0.0,402.0031180381775,96490.555,12281,,,,
,,,,0.016095968,1.3649521,-0.027626583,8.72,-7.021427154541016e-05,-423.37612663800167,118,1701,0.0,436.8593361377716,88792.08,13304,,,,
,,,,0.0119247455,1.3403046,-0.02477298,9.12,-2.944469451904297e-05,-423.0735442706347,126,1827,0.0,471.1974251270294,82164.92,14333,,,,
,,,,0.01189813,1.322174,-0.027560173,7.3,-0.0003254413604736328,-418.1591947191598,134,1961,0.0,506.95486307144165,91442.43,15350,,,,
,,,,0.021701202,1.3216479,-0.02699504,8.02,-0.00011420249938964844,-422.284746837231,118,2079,0.0,540.9794716835022,80040.1,16383,,,,
,,,,0.010741169,1.3222268,-0.028347509,9.14,-0.00010859966278076172,-423.09898822986804,107,2186,0.0,574.3810155391693,73410.65,17407,,,,
,,,,0.009258042,1.3283559,-0.027729468,10.14,-0.0011147260665893555,-436.0545039123489,100,2286,0.0,607.7824676036835,78625.76,18421,,,,
,,,,0.0133274775,1.3394586,-0.027227633,10.41,7.253885269165039e-05,-427.9981612001446,99,2385,0.0,640.6025741100311,71895.79,19456,,,,
,,,,0.018143572,1.3268853,-0.026543878,12.01,1.3589859008789062e-05,-445.72258743526595,85,2470,0.0,670.4590482711792,73467.62,20480,,,,
,,,,0.011935435,1.3311933,-0.028004218,13.39,-0.0002199411392211914,-446.60257044369996,84,2554,0.0,700.5827322006226,61151.5,21495,,,,
,,,,0.010548636,1.3201046,-0.03120499,9.15,0.0002785325050354004,-407.8646242475916,119,2673,0.0,735.0658197402954,56107.785,22519,,,,
,,,,0.011257303,1.3122447,-0.025336474,11.0,1.627206802368164e-05,-437.744348301572,94,2767,0.0,768.5365877151489,70065.45,23539,,,,
,,,,0.015788056,1.3096178,-0.026001152,10.57,4.172325134277344e-06,-427.8900877604994,95,2862,0.0,801.8105115890503,63324.156,24576,,,,
,,,,0.018013295,1.3080978,-0.02522038,10.24,-0.00011110305786132812,-425.26103998695544,99,2961,0.0,834.6519894599915,60415.836,25597,,,,
,,,,0.012099514,1.3045198,-0.030184597,8.56,-0.00013446807861328125,-411.2912690773282,115,3076,0.0,869.7989056110382,63402.336,26623,,,,
,,,,0.010427857,1.3119582,-0.030161323,9.72,-8.463859558105469e-06,-441.3919482414108,102,3178,0.0,903.8040466308594,79845.06,27630,,,,
,,,,0.015817674,1.2947166,-0.032902077,12.07,-4.887580871582031e-06,-435.4351338877134,86,3264,0.0,935.7960207462311,62012.676,28670,,,,
,,,,0.015347874,1.29266,-0.027134448,13.72,-2.47955322265625e-05,-454.80341539298263,72,3336,0.0,966.2462935447693,57171.51,29679,,,,
,,,,0.0109132975,1.3047745,-0.030733528,15.39,3.0934810638427734e-05,-463.9138882964232,67,3403,0.0,993.4160165786743,60940.477,30719,,,,
,,,,,,,,,,,,,,,,0.0,0.0,False,0
,,,,,,,12.897435897435898,,-449.9843921036524,39,39,,16.1341335773468,,503,,0.0,,
,,,,,,,11.848837209302326,,-441.2781913579709,47,86,,33.16409230232239,,1019,,0.0,,
,,,,,,,9.8,,-421.7648205948294,59,145,,51.33225870132446,,1529,,0.0,,
,,,,,,,10.44,,-414.9479180540782,37,182,,67.61231994628906,,2048,,0.0,,
,,,,,,,11.55,,-421.679764929035,43,225,,83.89492392539978,,2549,,0.0,,
,,,,0.01498437,1.31018,-0.027628478,9.31,-3.24249267578125e-05,-419.99016561683146,109,109,0.0,35.019686698913574,57841.516,1014,,,,
,,,,0.012756315,1.3250905,-0.030750733,10.26,2.4437904357910156e-05,-444.96545686210834,100,209,0.0,69.56689190864563,73884.375,2040,,,,
,,,,0.009980608,1.3343107,-0.02891351,10.43,0.00010013580322265625,-433.3062306279883,99,308,0.0,103.90533876419067,59785.105,3060,,,,
,,,,0.012600322,1.3207933,-0.027205672,11.33,5.1021575927734375e-05,-422.86080040081055,94,402,0.0,137.82409596443176,59841.016,4091,,,,
,,,,0.010620139,1.3249456,-0.033702612,11.1,1.519918441772461e-05,-452.06881354799816,84,486,0.0,170.64230823516846,68093.49,5101,,,,
,,,,0.013726378,1.3137048,-0.031170882,15.3,0.00015872716903686523,-473.03338959152535,61,547,0.0,197.76602292060852,40964.496,6130,,,,
,,,,0.014967421,1.3038939,-0.029535916,16.47,9.09566879272461e-05,-463.7884772906745,72,619,0.0,229.39810276031494,49993.266,7165,,,,
,,,,0.01106352,1.3088615,-0.033369258,12.84,1.4960765838623047e-05,-467.56338487867697,83,702,0.0,262.8037898540497,66042.64,8191,,,,
,,,,0.014402257,1.2937968,-0.027204614,10.38,1.0609626770019531e-05,-414.7092868547229,98,800,0.0,297.16350984573364,54194.727,9201,,,,
,,,,0.014558122,1.2941266,-0.03622836,12.03,-3.838539123535156e-05,-434.215721586502,87,887,0.0,330.30214953422546,43008.492,10239,,,,
,,,,0.012538869,1.2786944,-0.028548034,11.63,2.9027462005615234e-05,-428.1205220990539,88,975,0.0,363.63961935043335,40945.09,11254,,,,
,,,,0.014831584,1.2884138,-0.023272695,13.56,7.748603820800781e-07,-454.05113207223366,79,1054,0.0,396.254114151001,46591.41,12275,,,,
,,,,0.011033491,1.2803898,-0.030383479,10.53,6.93202018737793e-05,-428.024057017472,99,1153,0.0,430.7464847564697,52509.19,13312,,,,
,,,,0.010684139,1.2620604,-0.025297772,11.53,2.300739288330078e-05,-450.3435510672035,89,1242,0.0,464.93362641334534,56789.5,14320,,,,
,,,,0.012908809,1.2577221,-0.03513601,14.48,7.134675979614258e-05,-490.1347792617261,58,1300,0.0,493.79113006591797,56470.09,15357,,,,
,,,,0.014812767,1.2764856,-0.0219508,19.63,3.647804260253906e-05,-500.3994492656964,46,1346,0.0,518.1279458999634,35659.03,16383,,,,
,,,,0.016700264,1.2816721,-0.026681695,18.35,2.5272369384765625e-05,-481.5046360766072,62,1408,0.0,549.1287610530853,36756.996,17393,,,,
,,,,0.0114568155,1.2807217,-0.033284903,13.67,9.882450103759766e-05,-452.13479359574296,79,1487,0.0,583.0096867084503,43745.3,18428,,,,
,,,,0.013152615,1.2775172,-0.03270256,15.36,5.316734313964844e-05,-462.3486651594235,70,1557,0.0,616.006210565567,32810.957,19456,,,,
,,,,0.023835206,1.2820814,-0.030396167,12.96,-8.106231689453125e-06,-445.48453070338945,78,1635,0.0,649.2890622615814,36256.06,20469,,,,
,,,,0.013915013,1.2553589,-0.030924808,12.28,0.00025588274002075195,-429.080213896884,89,1724,0.0,683.6159460544586,29705.156,21503,,,,
,,,,0.015686823,1.2672156,-0.032516316,14.43,1.6033649444580078e-05,-459.82590288537904,69,1793,0.0,717.1966872215271,39147.188,22528,,,,
,,,,0.012404833,1.2788695,-0.02825885,11.63,-7.677078247070312e-05,-447.297762108368,86,1879,0.0,751.5639383792877,37603.91,23540,,,,
,,,,0.015306208,1.293852,-0.03145734,12.96,9.751319885253906e-05,-453.3050908222133,77,1956,0.0,784.7605166435242,38560.7,24561,,,,
,,,,0.019775692,1.2614596,-0.03208964,16.55,0.00031119585037231445,-454.9421059017327,55,2011,0.0,811.9186389446259,22147.438,25599,,,,
,,,,0.015303494,1.2653897,-0.028135862,14.93,4.172325134277344e-07,-458.5457474372339,68,2079,0.0,844.8931033611298,37028.48,26617,,,,
,,,,0.015042657,1.2646867,-0.029265039,14.94,-6.198883056640625e-06,-455.61982615222485,70,2149,0.0,878.1276712417603,30086.285,27639,,,,
,,,,0.012434898,1.2814152,-0.029921938,14.48,-1.5497207641601562e-06,-447.5761820909363,72,2221,0.0,911.1931617259979,34220.08,28669,,,,
,,,,0.01717701,1.2837255,-0.03190754,14.54,-1.1920928955078125e-06,-451.26299302315,71,2292,0.0,944.6009953022003,30139.02,29695,,,,
,,,,0.008919461,1.2778947,-0.029650055,13.22,3.0994415283203125e-06,-464.5630403212614,72,2364,0.0,977.2904717922211,35278.266,30703,,,,
,,,,,,,,,,,,,,,,0.0008460236886632825,0.0008460236886632825,False,0.0
,,,,,,,13.86111111111111,,-418.51518188699265,36,36,,16.98937678337097,,499,,0.0,,
,,,,,,,13.986301369863014,,-419.12996731764747,37,73,,33.569082736968994,,1021,,0.0,,
,,,,,,,13.74,,-427.69734408265145,38,111,,50.79737615585327,,1526,,0.0,,
,,,,,,,14.11,,-432.6991992215714,36,147,,67.42946863174438,,2037,,0.0,,
,,,,,,,15.34,,-436.90357809993407,26,173,,83.05873131752014,,2555,,0.0,,
,,,,0.014045289,1.2783698,-0.026499623,15.9375,-1.1920928955078125e-07,-464.91150744868173,64,64,0.0,30.271063089370728,29647.451,1020,,,,
,,,,0.01342892,1.2863387,-0.03597609,17.63,0.0001685619354248047,-463.4225142273761,53,117,0.0,58.450003147125244,16262.3,2032,,,,
,,,,0.023943389,1.2618401,-0.034861684,16.91,0.00011515617370605469,-461.3610624822128,62,179,0.0,90.65713834762573,29696.273,3069,,,,
