env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,-0.024354242,11.186813186813186,23.611210346221924,1.4489706,91,0.010583204,232328.22,-573.5296346106725,1018,91,0.0001837015151977539,0.0,,,,
,,,,-0.024621338,12.05,46.76885795593262,1.4372922,85,0.009478373,177347.47,-524.0311465291516,2047,176,0.00047713518142700195,0.0,,,,
,,,,-0.029051278,11.38,70.05185866355896,1.4331131,89,0.012006878,164735.53,-505.07357673718275,3061,265,-0.008710265159606934,0.0,,,,
,,,,-0.029476697,11.84,93.44294762611389,1.41461,87,0.010361991,128439.79,-458.6970796524859,4090,352,-0.006906867027282715,0.0,,,,
,,,,-0.026943661,12.33,116.58946466445923,1.409191,82,0.009735411,121997.11,-449.8778750342333,5115,434,7.015466690063477e-05,0.0,,,,
,,,,-0.029837765,11.78,139.8412585258484,1.4171275,86,0.015050316,117909.55,-442.00812718325983,6141,520,-0.0015306472778320312,0.0,,,,
,,,,-0.028061457,12.89,162.93410754203796,1.3965838,75,0.011892835,73396.1,-407.6323425128157,7158,595,-3.5762786865234375e-07,0.0,,,,
,,,,-0.023807082,14.36,186.0356423854828,1.3935453,70,0.013152377,63005.32,-404.1602309725829,8176,665,-0.0016068220138549805,0.0,,,,
,,,,-0.03226365,14.32,208.99841141700745,1.3925648,70,0.0141798705,79692.9,-414.90744122014536,9216,735,-0.0010520219802856445,0.0,,,,
,,,,-0.02556469,15.36,231.91351342201233,1.3914678,66,0.013242972,68005.15,-406.97594095403315,10229,801,-0.0003650188446044922,0.0,,,,
,,,,-0.02778367,15.89,254.8406388759613,1.3972266,63,0.01034121,57134.695,-404.76963637777015,11246,864,-0.00024449825286865234,0.0,,,,
,,,,-0.03084457,16.48,278.8851957321167,1.3864405,63,0.016891005,70818.195,-376.12157827704294,12285,927,-0.0003426074981689453,0.0,,,,
,,,,-0.03218347,17.0,301.5480694770813,1.3807157,55,0.016102258,51884.09,-383.9146658868709,13290,982,-4.4465065002441406e-05,0.0,,,,
,,,,-0.025633592,19.29,324.27722096443176,1.3876956,54,0.013746292,48623.754,-402.3974489316824,14335,1036,0.00015437602996826172,0.0,,,,
,,,,-0.03243484,20.81,346.58088970184326,1.4042956,45,0.01486337,50375.57,-388.43972283456173,15351,1081,-7.784366607666016e-05,0.0,,,,
,,,,-0.031263024,21.35,369.0733597278595,1.3790551,49,0.01267301,44535.234,-389.96491090036864,16367,1130,0.0001831650733947754,0.0,,,,
,,,,-0.025074575,21.64,391.3924057483673,1.376206,46,0.0072174654,43982.67,-387.90243150539027,17406,1176,0.00020712614059448242,0.0,,,,
,,,,-0.02716183,21.99,414.00417304039,1.3545588,48,0.009681124,54131.36,-399.13237403335717,18432,1224,-1.0967254638671875e-05,0.0,,,,
,,,,-0.030203762,22.23,436.378319978714,1.336498,45,0.01519817,52111.27,-389.1266029677912,19455,1269,2.4437904357910156e-05,0.0,,,,
,,,,-0.024569828,22.35,458.70746779441833,1.3242131,46,0.012522488,44879.707,-358.6238957923576,20463,1315,-2.5987625122070312e-05,0.0,,,,
,,,,-0.027717564,22.99,481.0600788593292,1.2992146,43,0.012552779,52533.957,-336.43317882926647,21486,1358,8.225440979003906e-06,0.0,,,,
,,,,-0.030043751,22.81,503.6730101108551,1.2948568,46,0.015189647,83905.914,-342.2388573887609,22527,1404,-1.430511474609375e-05,0.0,,,,
,,,,-0.029682495,23.68,525.9209198951721,1.266363,41,0.013039532,65953.87,-337.04931334198767,23536,1445,-3.933906555175781e-05,0.0,,,,
,,,,-0.026835073,24.43,548.1226122379303,1.2349676,40,0.010510657,91349.51,-262.06377346382624,24555,1485,-2.6702880859375e-05,0.0,,,,
,,,,-0.02969155,24.23,571.2071619033813,1.220556,45,0.018937046,72050.414,-282.83095098031674,25587,1530,-7.319450378417969e-05,0.0,,,,
,,,,-0.029394561,24.29,594.1356127262115,1.1889899,40,0.0080426745,87888.516,-258.53722052235736,26606,1570,-4.76837158203125e-06,0.0,,,,
,,,,-0.03303132,24.86,616.6094386577606,1.1529981,42,0.010208312,125083.83,-195.6108066482646,27635,1612,-6.079673767089844e-06,0.0,,,,
,,,,-0.030315645,24.52,639.1187903881073,1.1357812,43,0.0085995225,114340.695,-171.23557288601492,28666,1655,-5.245208740234375e-06,0.0,,,,
,,,,-0.032577146,25.02,661.2887313365936,1.1381854,39,0.012417449,100694.06,-128.59187874687103,29695,1694,-2.2530555725097656e-05,0.0,,,,
,,,,-0.038814045,25.72,683.620415687561,1.1301185,38,0.013394871,126411.05,-35.15103831709333,30708,1732,0.055513858795166016,0.0,,,,
,,,,,,,,,,,,,,,,0.04041570438799076,0,False,0.04041570438799076
,,,,,27.38888888888889,11.13929796218872,,18,,,859.9978119219294,493,18,,,,,,0.9444444444444444
,,,,,27.37837837837838,22.303160429000854,,19,,,779.8611502634326,1013,37,,,,,,0.8918918918918919
,,,,,27.545454545454547,33.35846495628357,,18,,,677.7917102911014,1515,55,,,,,,0.8
,,,,,27.66216216216216,44.49453020095825,,19,,,729.8118523924686,2047,74,,,,,,0.8378378378378378
,,,,,27.76086956521739,55.596282720565796,,18,,,729.3584751038849,2554,92,,,,,,0.8478260869565217
,,,,-0.036939286,24.902439024390244,22.817265272140503,1.108444,41,0.015494946,121497.26,-75.8826090610983,1021,41,0.032895445823669434,0.0,,,,
,,,,-0.035268452,25.59493670886076,45.19353413581848,1.0647504,38,0.009061576,172622.75,75.72216468843025,2022,79,0.08289933204650879,0.0,,,,
,,,,-0.034780543,26.17,67.7907931804657,1.0451156,39,0.013428255,164028.02,145.18902925903305,3072,118,0.04321181774139404,0.0,,,,
,,,,-0.03244598,26.45,90.22109007835388,1.0372477,38,0.008231261,151093.9,192.37719292991875,4072,156,0.0420646071434021,0.0,,,,
